variable,n,mean,std,min,p25,median,p75,max
income,105517,1682943.2684970195,2324524.318946443,40.0,800000.0,1300000.0,1800000.0,102000000.0
log_income,105517,13.958198495049645,0.8803272437091956,3.688879454113936,13.592367006650065,14.077874822431763,14.403297222866392,18.440483371248543
age,105517,39.99093984855521,12.357741752166126,18.0,30.0,39.0,50.0,65.0
education_years,71231,14.242127725288148,4.817140623797293,0.0,9.0,17.0,19.0,19.0
experience,71231,20.87606519633306,14.440794376943682,0.0,8.0,19.0,32.0,59.0
hours_worked,105517,44.72567453585678,12.662079118880575,1.0,40.0,48.0,48.0,120.0
formal,105517,0.4924419761744553,0.4999452420453493,0.0,0.0,0.0,1.0,1.0
female,105517,0.4448098410682639,0.49694706639519176,0.0,0.0,0.0,1.0,1.0
urban,105517,0.8846252262668575,0.3194751987218886,0.0,1.0,1.0,1.0,1.0
AHC_score,105395,43.73872947818977,8.58572951272667,35.357291408702274,38.19534312331124,38.690441246060296,52.490285861871726,61.938987017046834
SUB_score,105395,37.59160622547974,9.290601594783496,26.957265250696516,29.492009656676768,37.83406780342327,40.271063736258704,64.44343243486553
PHY_score,105395,0.34335076509837237,0.09575835387043759,0.21626183583724035,0.23475535786214582,0.3237322234339583,0.4275596827753968,0.49538278605254155
ROU_score,105395,0.28319870160131827,0.04208147011394697,0.237104412266985,0.2497418010507759,0.27271893446041146,0.3048517317295018,0.41057134634221437
automation_prob,105517,0.4889300302320953,0.22592623712948331,0.03,0.3,0.55,0.68,0.75
