model,n,r2,education_years_b,education_years_se,education_years_p,experience_b,experience_se,experience_p,experience_sq_b,experience_sq_se,experience_sq_p,AHC_score_z_b,AHC_score_z_se,AHC_score_z_p,ROU_score_z_b,ROU_score_z_se,ROU_score_z_p,D_z_b,D_z_se,D_z_p,AHC_x_D_b,AHC_x_D_se,AHC_x_D_p,ROU_x_D_b,ROU_x_D_se,ROU_x_D_p,female_b,female_se,female_p,urban_b,urban_se,urban_p,AHC_binary_b,AHC_binary_se,AHC_binary_p,AHC_bin_x_D_b,AHC_bin_x_D_se,AHC_bin_x_D_p,SUB_score_z_b,SUB_score_z_se,SUB_score_z_p,SUB_x_D_b,SUB_x_D_se,SUB_x_D_p,D_formal_z_b,D_formal_z_se,D_formal_z_p,AHC_x_Df_b,AHC_x_Df_se,AHC_x_Df_p,ROU_x_Df_b,ROU_x_Df_se,ROU_x_Df_p,AHC_placebo_b,AHC_placebo_se,AHC_placebo_p,AHC_plac_x_D_b,AHC_plac_x_D_se,AHC_plac_x_D_p,age_b,age_se,age_p
R1: Baseline,71167,0.44615336434289454,0.04229,0.00102,0.0,0.02319,0.00065,0.0,-0.00043,1e-05,0.0,0.10149,0.00369,0.0,-0.07068,0.0025,0.0,0.61441,0.00702,0.0,0.03116,0.00586,0.0,0.03656,0.00585,0.0,-0.33474,0.00569,0.0,0.02705,0.0094,0.00401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2: Binary AHC,71167,0.4428228038998785,0.04386,0.00103,0.0,0.02319,0.00065,0.0,-0.00042,1e-05,0.0,,,,-0.07901,0.00295,0.0,0.59742,0.00938,0.0,,,,0.00705,0.00784,0.36845,-0.32797,0.00576,0.0,0.01712,0.00947,0.07044,0.13932,0.0083,0.0,0.17477,0.01233,0.0,,,,,,,,,,,,,,,,,,,,,,,,
R3: SUB instead of ROU,71167,0.4445205244471576,0.04158,0.00102,0.0,0.02378,0.00065,0.0,-0.00044,1e-05,0.0,0.11281,0.0038,0.0,,,,0.5909,0.00709,0.0,0.07491,0.00549,0.0,,,,-0.34559,0.00571,0.0,0.0295,0.00942,0.00174,,,,,,,-0.05917,0.00234,0.0,-0.02183,0.00491,1e-05,,,,,,,,,,,,,,,,,,
R4: D = sector formality,71167,0.40627956134596344,0.06244,0.001,0.0,0.02296,0.00068,0.0,-0.00041,1e-05,0.0,0.24692,0.00338,0.0,-0.03133,0.00247,0.0,,,,,,,,,,-0.37291,0.0059,0.0,0.07474,0.0097,0.0,,,,,,,,,,,,,0.17808,0.00374,0.0,0.01129,0.00299,0.00016,0.00605,0.00241,0.01204,,,,,,,,,
R5: PLACEBO (shuffled AHC),71167,0.4428026711848876,0.04477,0.00102,0.0,0.0233,0.00065,0.0,-0.00042,1e-05,0.0,,,,-0.07605,0.00232,0.0,0.74723,0.0064,0.0,,,,0.01001,0.00573,0.08078,-0.33158,0.0057,0.0,0.0153,0.00949,0.10676,,,,,,,,,,,,,,,,,,,,,,0.01817,0.00237,0.0,-0.03708,0.00319,0.0,,,
Gender: Male,38542,0.43402205768239666,0.03799,0.00116,0.0,0.0261,0.00082,0.0,-0.00045,2e-05,0.0,0.09688,0.00449,0.0,-0.08233,0.00341,0.0,0.5622,0.00896,0.0,0.02803,0.00695,5e-05,0.00954,0.00741,0.19754,,,,-0.02285,0.01019,0.0249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender: Female,32625,0.46952142258015184,0.05031,0.0019,0.0,0.02194,0.00103,0.0,-0.00044,2e-05,0.0,0.10308,0.0066,0.0,-0.07749,0.00407,0.0,0.6663,0.01104,0.0,-0.00553,0.01149,0.6304,0.05415,0.0098,0.0,,,,0.22115,0.01943,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formality: Formal,37099,0.3699445556060762,0.04304,0.00131,0.0,0.02235,0.00071,0.0,-0.00037,2e-05,0.0,0.10068,0.00443,0.0,-0.09422,0.00281,0.0,0.34956,0.0079,0.0,0.06651,0.00783,0.0,0.01686,0.00739,0.0226,-0.16477,0.00588,0.0,-0.04287,0.01312,0.00109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formality: Informal,34068,0.15082480181901758,0.02115,0.0013,0.0,0.01707,0.00103,0.0,-0.00036,2e-05,0.0,0.14038,0.0095,0.0,-0.03462,0.00938,0.00022,0.1524,0.01559,0.0,-0.04201,0.01376,0.00226,0.0178,0.01251,0.1546,-0.4997,0.00907,0.0,0.11251,0.01109,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Educ: Primary,2119,0.14686369043319825,,,,,,,,,,-0.07642,0.07789,0.32654,-0.12315,0.09135,0.1776,0.04031,0.0826,0.62553,-0.35849,0.09374,0.00013,-0.03127,0.08923,0.72599,-0.68322,0.04252,0.0,0.04064,0.03749,0.27832,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00106,0.00151,0.48429
